Patchouli-1.18.2-71.1.jar	yes	patchouli,
PickUpNotifier-v3.2.1-1.18.2-Forge.jar	no	
PineappleDelight-Forge-1.18.2-1.0.6-Fix1.jar	no	pineapple_delight,
Placebo-1.18.2-6.6.7.jar	yes	placebo,
PresenceNotRequired-Forge-1.3.0.jar	no	
Prism-1.18.2-1.0.1.jar	no	
ProgressiveBosses-3.6.8-mc1.18.2.jar	yes	progressivebosses,
Project_MMO-1.18.2-3.69.11.jar	yes	pmmo,
PuzzlesLib-v3.5.8-1.18.2-Forge.jar	no	
Quark-3.2-358.jar	yes	quark,
Quest_Giver-1.18.2-1.2.9-all.jar	no	quest_giver,
REIPluginCompatibilities-forge-8.0.89.jar	yes	jei,
ReAuth-1.18-Forge-4.0.7.jar	no	reauth,
RecipeStages-3.0.0.10.jar	yes	recipestages,
Reputation-1.18-0.9.9.jar	no	reputation,
RoughlyEnoughItems-8.4.778-forge.jar	yes	roughlyenoughitems,
Serene Seasons-1.18.2-7.0.0.13.jar	yes	sereneseasons,
ShoulderSurfing-Forge-1.18.2-4.2.1.jar	no	
Shrines-1.18.2-4.1.0.jar	no	
SimpleBackups-1.18.2-1.1.14.jar	no	simplebackups,
StackablePotions-forge-1.18.2-1.0.0.jar	no	
StorageDrawers-1.18.2-10.2.1.jar	no	storagedrawers,
Structory-1.18.2-1.0.2.jar	no	
THEUNDEADREVAMPED_DAWNCRAFT_VERSION_1.0.1.jar	no	undead_revamp2,
TerraBlender-forge-1.18.2-1.2.0.126.jar	yes	terrablender,
Terralith_1.18.2_v2.2.6.jar	yes	terralith,
TinySkeletons-v3.3.1-1.18.2-Forge.jar	yes	tinyskeletons,
ToastControl-1.18.2-6.0.3.jar	yes	toastcontrol,
TravelersTitles-1.18.2-Forge-2.1.1.jar	no	travelerstitles,
TreeChop-forge-1.18.2-0.17.7.jar	yes	treechop,
Villager Comfort-1.18.2-1.0.1.jar	no	
WeaponsOfMiracles-18.1.7.38.jar	no	wom,
YungsApi-1.18.2-Forge-2.2.9.jar	no	
YungsBetterDesertTemples-1.18.2-Forge-1.3.1.jar	no	betterdeserttemples,
YungsBetterDungeons-1.18.2-Forge-2.1.0.jar	no	betterdungeons,
YungsBetterEndIsland-1.18.2-Forge-1.0.jar	no	
YungsBetterMineshafts-1.18.2-Forge-2.2.jar	no	
YungsBetterNetherFortresses-1.18.2-Forge-1.0.0.jar	no	betterfortresses,
YungsBetterOceanMonuments-1.18.2-Forge-1.0.3.jar	no	betteroceanmonuments,
YungsBetterStrongholds-1.18.2-Forge-2.1.1.jar	no	betterstrongholds,
YungsBetterWitchHuts-1.18.2-Forge-1.0.1.jar	no	betterwitchhuts,
YungsBridges-1.18.2-Forge-2.1.0.jar	no	
YungsExtras-1.18.2-Forge-2.1.0.jar	no	yungsextras,
ZenSummoning-1.18.2-1.3.8.jar	no	zensummoning,
[1.18.2-forge]-Epic-Knights-8.2.jar	yes	magistuarmory,
adaptive_performance_tweaks_core_1.18.2-10.2.0.jar	no	
adaptive_performance_tweaks_items_1.18.2-10.0.0.jar	no	
aggrofix-1.18.2.jar	no	aggrofix,
